nlid,species_id,nest_location_id,nest_location,cite_id,username,dt
394,Sterna trudeaui,1,F,citation311,grant,7/17/2016
395,Sterna virgata,1,O,citation311,grant,7/17/2016
396,Sterna vittata,1,O,citation311,grant,7/17/2016
397,Sternula albifrons,1,O,citation311,grant,7/17/2016
398,Sternula antillarum,1,O,citation311,grant,7/17/2016
399,Sternula balaenarum,1,O,citation311,grant,7/17/2016
400,Sternula lorata,1,O,citation311,grant,7/17/2016
401,Sternula nereis,1,unknown,citation311,grant,7/17/2016
402,Sternula saundersi,1,unknown,citation311,grant,7/17/2016
403,Sternula superciliaris,1,O,citation311,grant,7/17/2016
404,Thalasseus bengalensis,1,unknown,citation311,grant,7/17/2016
405,Thalasseus bergii,1,unknown,citation311,grant,7/17/2016
406,Thalasseus bernsteini,1,unknown,citation311,grant,7/17/2016
407,Thalasseus elegans,1,O,citation311,grant,7/17/2016
408,Thalasseus maximus,1,unknown,citation311,grant,7/17/2016
409,Thalasseus sandvicensis acuflavida,1,O,citation311,grant,7/17/2016
410,Thalasseus sandvicensis eurygnatha,1,O,citation311,grant,7/17/2016
411,Xema sabini,1,O,citation311,grant,7/17/2016
412,Fregetta grallaria,1,Cr,citation311,grant,7/17/2016
413,Fregetta grallaria,2,Bu,citation311,grant,7/17/2016
414,Fregetta maoriana,1,unknown,citation311,grant,7/17/2016
415,Fregetta tropica,1,Cr,citation311,grant,7/17/2016
416,Garrodia nereis,1,Un,citation311,grant,7/17/2016
417,Nesofregetta fuliginosa,1,Un,citation311,grant,7/17/2016
418,Nesofregetta fuliginosa,2,Cr,citation311,grant,7/17/2016
419,Oceanites gracilis,1,unknown,citation311,grant,7/17/2016
420,Oceanites gracilis galapagoensis,1,unknown,citation311,grant,7/17/2016
421,Oceanites oceanicus,1,Bu,citation311,grant,7/17/2016
422,Oceanites oceanicus,2,Cr,citation311,grant,7/17/2016
423,Oceanites oceanicus chilensis,1,unknown,citation311,grant,7/17/2016
424,Oceanites oceanicus exasperatus,1,unknown,citation311,grant,7/17/2016
425,Oceanites oceanicus oceanicus,1,unknown,citation311,grant,7/17/2016
426,Oceanites pincoyae,1,unknown,citation311,grant,7/17/2016
427,Pelagodroma marina,1,Bu,citation311,grant,7/17/2016
428,Pedionomus torquatus,1,unknown,citation311,grant,7/17/2016
429,Pelecanus conspicillatus,1,O,citation311,grant,7/17/2016
430,Pelecanus crispus,1,O,citation311,grant,7/17/2016
431,Pelecanus erythrorhynchos,1,O,citation311,grant,7/17/2016
432,Pelecanus occidentalis,1,O,citation311,grant,7/17/2016
433,Pelecanus occidentalis,2,T,citation311,grant,7/17/2016
