relation_id,feature_id,cite_id
1340,350,citation16
1341,351,citation16
1342,352,citation16
1343,353,citation16
1344,354,citation16
1345,355,citation16
1346,356,citation16
1347,357,citation16
1348,358,citation16
1349,359,citation16
1350,360,citation16
1351,361,citation294
1352,362,citation294
1353,363,citation294
1354,364,citation294
1355,365,citation294
1356,366,citation294
1357,367,citation294
1358,368,citation294
1359,369,citation294
1360,370,citation294
1361,371,citation294
1362,372,citation294
1363,373,citation294
1364,374,citation294
1365,375,citation294
1366,376,citation294
1367,377,citation294
1368,378,citation294
1369,379,citation294
1370,380,citation294
1371,381,citation294
1372,382,citation294
1373,383,citation294
1374,384,citation294
1375,385,citation294
1376,386,citation294
1377,387,citation294
1378,388,citation294
1379,389,citation294
1380,390,citation294
1381,361,citation308
1382,362,citation308
1383,363,citation308
1384,364,citation308
1385,365,citation308
1386,366,citation308
1387,367,citation308
1388,368,citation308
1389,369,citation308
1390,370,citation308
1391,371,citation308
1392,372,citation308
1393,373,citation308
1394,374,citation308
1395,375,citation308
1396,376,citation308
1397,377,citation308
1398,378,citation308
1399,379,citation308
1400,380,citation308
1401,381,citation308
1402,382,citation308
1403,383,citation308
1404,384,citation308
1405,385,citation308
1406,386,citation308
1407,387,citation308
1408,388,citation308
1409,389,citation308
1410,390,citation308
1411,361,citation97
1412,362,citation97
1413,363,citation97
1414,364,citation97
1415,365,citation97
1416,366,citation97
1417,367,citation97
1418,368,citation97
1419,369,citation97
1420,370,citation97
1421,371,citation97
1422,372,citation97
1423,373,citation97
1424,374,citation97
1425,375,citation97
1426,376,citation97
1427,377,citation97
1428,378,citation97
1429,379,citation97
1430,380,citation97
1431,381,citation97
1432,382,citation97
1433,383,citation97
1434,384,citation97
1435,385,citation97
1436,386,citation97
1437,387,citation97
1438,388,citation97
1439,389,citation97
1440,390,citation97
1441,361,citation95
1442,362,citation95
1443,363,citation95
1444,364,citation95
1445,365,citation95
1446,366,citation95
1447,367,citation95
1448,368,citation95
1449,369,citation95
1450,370,citation95
1451,371,citation95
1452,372,citation95
1453,373,citation95
1454,374,citation95
1455,375,citation95
1456,376,citation95
1457,377,citation95
1458,378,citation95
1459,379,citation95
1460,380,citation95
1461,381,citation95
1462,382,citation95
1463,383,citation95
1464,384,citation95
1465,385,citation95
1466,386,citation95
1467,387,citation95
1468,388,citation95
1469,389,citation95
1470,390,citation95
1471,361,citation16
1472,362,citation16
1473,363,citation16
1474,364,citation16
1475,365,citation16
1476,366,citation16
1477,367,citation16
1478,368,citation16
1479,369,citation16
1480,370,citation16
1481,371,citation16
1482,372,citation16
1483,373,citation16
1484,374,citation16
1485,375,citation16
1486,376,citation16
1487,377,citation16
1488,378,citation16
1489,379,citation16
1490,380,citation16
1491,381,citation16
1492,382,citation16
1493,383,citation16
1494,384,citation16
1495,385,citation16
1496,386,citation16
1497,387,citation16
1498,388,citation16
1499,389,citation16
1500,390,citation16
1501,391,citation8
1502,392,citation8
1503,393,citation8
1504,394,citation8
1505,395,citation8
1506,396,citation8
1507,397,citation8
1508,398,citation8
1509,399,citation8
1510,400,citation8
1511,401,citation8
1512,402,citation8
1513,403,citation8
1514,404,citation8
1515,405,citation8
1516,406,citation8
1517,407,citation8
1518,408,citation8
1519,409,citation8
1520,410,citation8
1521,411,citation8
1522,412,citation8
1523,413,citation8
1524,414,citation8
1525,415,citation8
1526,416,citation8
1527,417,citation8
1528,418,citation8
1529,419,citation8
1530,420,citation8
1531,391,citation60
1532,392,citation60
1533,393,citation60
1534,394,citation60
1535,395,citation60
1536,396,citation60
1537,397,citation60
1538,398,citation60
1539,399,citation60
1540,400,citation60
1541,401,citation60
1542,402,citation60
1543,403,citation60
1544,404,citation60
1545,405,citation60
1546,406,citation60
1547,407,citation60
1548,408,citation60
1549,409,citation60
1550,410,citation60
1551,411,citation60
1552,412,citation60
1553,413,citation60
1554,414,citation60
1555,415,citation60
1556,416,citation60
1557,417,citation60
1558,418,citation60
1559,419,citation60
1560,420,citation60
1561,391,citation308
1562,392,citation308
1563,393,citation308
1564,394,citation308
1565,395,citation308
1566,396,citation308
1567,397,citation308
1568,398,citation308
1569,399,citation308
1570,400,citation308
1571,401,citation308
1572,402,citation308
1573,403,citation308
1574,404,citation308
1575,405,citation308
1576,406,citation308
1577,407,citation308
1578,408,citation308
1579,409,citation308
1580,410,citation308
1581,411,citation308
1582,412,citation308
1583,413,citation308
1584,414,citation308
1585,415,citation308
1586,416,citation308
1587,417,citation308
1588,418,citation308
1589,419,citation308
1590,420,citation308
1591,391,citation33
1592,392,citation33
1593,393,citation33
1594,394,citation33
1595,395,citation33
1596,396,citation33
1597,397,citation33
1598,398,citation33
1599,399,citation33
1600,400,citation33
1601,401,citation33
1602,402,citation33
1603,403,citation33
1604,404,citation33
1605,405,citation33
1606,406,citation33
1607,407,citation33
1608,408,citation33
1609,409,citation33
1610,410,citation33
1611,411,citation33
1612,412,citation33
1613,413,citation33
1614,414,citation33
1615,415,citation33
1616,416,citation33
1617,417,citation33
1618,418,citation33
1619,419,citation33
1620,420,citation33
1621,391,citation16
1622,392,citation16
1623,393,citation16
1624,394,citation16
1625,395,citation16
1626,396,citation16
1627,397,citation16
1628,398,citation16
1629,399,citation16
1630,400,citation16
1631,401,citation16
1632,402,citation16
1633,403,citation16
1634,404,citation16
1635,405,citation16
1636,406,citation16
1637,407,citation16
1638,408,citation16
1639,409,citation16
1640,410,citation16
1641,411,citation16
1642,412,citation16
1643,413,citation16
1644,414,citation16
1645,415,citation16
1646,416,citation16
