sst_id,feature_id,species_id,cite_id
748,419,Phalacrocoraxpenicillatus,citation24
749,419,Phalacrocoraxpenicillatus,citation25
750,419,Phalacrocoraxpenicillatus,citation146
751,419,Phalacrocoraxpenicillatus,citation85
752,419,Phalacrocoraxpenicillatus,citation295
753,419,Phalacrocoraxpenicillatus,citation16
754,420,Phalacrocoraxperspicillatus,citation194
755,421,Phalacrocoraxpunctatus,citation165
756,421,Phalacrocoraxpunctatus,citation200
757,421,Phalacrocoraxpunctatus,citation146
758,422,Phalacrocoraxranfurlyi,citation165
759,422,Phalacrocoraxranfurlyi,citation200
760,423,Phalacrocoraxsulcirostris,citation165
761,423,Phalacrocoraxsulcirostris,citation200
762,424,Phalacrocoraxurile,citation52
763,424,Phalacrocoraxurile,citation200
764,424,Phalacrocoraxurile,citation146
765,425,Phalacrocoraxvarius,citation165
766,426,Phalacrocoraxverrucosus,citation165
767,427,Pluvianellussocialis,citation194
768,428,Pluvianusaegyptius,citation194
769,429,Aphrodromabrevirostris,citation62
770,429,Aphrodromabrevirostris,citation298
771,429,Aphrodromabrevirostris,citation48
772,429,Aphrodromabrevirostris,citation31
773,430,Ardennabulleri,citation165
774,430,Ardennabulleri,citation298
775,430,Ardennabulleri,citation48
776,431,Ardennacarneipes,citation165
777,431,Ardennacarneipes,citation298
778,431,Ardennacarneipes,citation48
779,431,Ardennacarneipes,citation13
780,432,Ardennacreatopus,citation165
781,432,Ardennacreatopus,citation298
782,432,Ardennacreatopus,citation48
783,433,Ardennagravis,citation165
784,433,Ardennagravis,citation298
785,433,Ardennagravis,citation48
786,434,Ardennagrisea,citation238
787,434,Ardennagrisea,citation62
788,434,Ardennagrisea,citation48
789,435,Ardennapacifica,citation92
790,435,Ardennapacifica,citation165
791,435,Ardennapacifica,citation298
